director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,overview,tagline,rating,companies
Raja Gosnell,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui,Adventure Animation Comedy Family Fantasy,the smurfs 2,"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?",Get ready to get naughty!,5.779,NeoReel Columbia Pictures Sony Pictures Animation Hemisphere Media Capital Kerner Entertainment Company Sony Pictures
Jan de Bont,Jason Patric,Temuera Morrison,Lois Chiles,Action Crime Romance Thriller,speed 2: cruise control,"A disgruntled former employee hijacks the Seabourn Legend cruise liner. Set on a fixed course, without any means of communication and at the mercy of the hijacker, it's up to the one cop on vacation, and his soon to be fiancé (hopefully) Annie, to regain control of it before it kills the passengers and causes an environmental disaster. Insurmountable and daunting tasks awaits them on their  perilous journey throughout the ship trying to fend off the hijacker and save the passengers.","As the stakes get higher, the ride gets even faster.",4.6,Blue Tulip Productions 20th Century Fox
Gavin Hood,Harrison Ford,Moises Arias,Aramis Knight,Action Sci-Fi,ender's game,"Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.",This is not a game.,6.6,Digital Domain Chartoff Productions Taleswapper K/O Paper Products OddLot Entertainment
Len Wiseman,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,Action Adventure Thriller,live free or die hard,"John McClane is back and badder than ever, and this time he's working for Homeland Security. He calls on the services of a young hacker in his bid to stop a ring of Internet terrorists intent on taking control of America's computer infrastructure.",The old school cop is back!,6.6,Dune Entertainment Cheyenne Enterprises Wintergreen Productions 20th Century Fox Ingenious Media
Peter Jackson,Christopher Lee,Orlando Bloom,Billy Boyd,Action Adventure Drama Fantasy,the lord of the rings: the fellowship of the ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",One ring to rule them all,8.399,New Line Cinema WingNut Films The Saul Zaentz Company
Michael Mann,Will Smith,Jada Pinkett Smith,Joe Morton,Biography Drama Sport,ali,"In 1964, a brash, new pro boxer, fresh from his Olympic gold medal victory, explodes onto the scene: Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self-confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",Float like a butterfly and sting like a bee.,6.8,Columbia Pictures Initial Entertainment Group Forward Pass Moonlighting Films Overbrook Entertainment Peters Entertainment
Bo Welch,Sean Hayes,Kelly Preston,Spencer Breslin,Adventure Comedy Family Fantasy,the cat in the hat,"During a rainy day, and while their mother is out, Conrad and Sally, and their pet fish, are visited by the mischievous Cat in the Hat. Fun soon turns to mayhem, and the siblings must figure out how to rid themselves of the maniacal Cat.",Don't mess with the hat.,5.3,Universal Pictures Imagine Entertainment DreamWorks Pictures
Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride,Action Mystery Sci-Fi Thriller,"i, robot","In 2035, where robots are commonplace and abide by the three laws of robotics, a technophobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.",Laws are made to be broken.,6.9,Davis Entertainment Laurence Mark Productions Canlaws Productions 20th Century Fox Overbrook Entertainment Mediastream Vierte Film GmbH & Co. Vermarktungs KG
Ridley Scott,Liam Neeson,Orlando Bloom,Philip Glenister,Action Adventure Drama History War,kingdom of heaven,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.","Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",6.9,Scott Free Productions BK KOH Reino del Cielo Inside Track 3 20th Century Fox Babelsberg Film
Rob Minkoff,Chazz Palminteri,Nathan Lane,Jeffrey Jones,Adventure Comedy Family Fantasy,stuart little,"The adventures of a heroic and debonair stalwart mouse named Stuart Little with human qualities, who faces some comic misadventures while searching for his lost bird friend and living with a human family as their child.",The Little family just got bigger.,6.035,Franklin/Waterman Productions Columbia Pictures Global Medien KG Red Wagon Entertainment
Ron Clements,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose,Animation Family Fantasy Musical Romance,the princess and the frog,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",Every love story begins with a kiss...,7.2,Walt Disney Pictures Walt Disney Animation Studios
Ridley Scott,Matt Damon,Donald Glover,Benedict Wong,Adventure Drama Sci-Fi,the martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",Bring Him Home,7.675,Scott Free Productions Genre Films
Christopher Barnard,Mathew Buck,unknown,unknown,Comedy,"10,000 b.c.            ","Set in prehistoric times, this short film was created for the Edison Company by Willis H. O'Brien, a pioneer of American stop-motion animation.",,5.7,"Edison Studios Conquest Pictures Company Thomas A. Edison, Inc."
Peter Chelsom,Del Zamora,Warren Beatty,Garry Shandling,Comedy Romance,town & country,"Porter Stoddard is a well-known New York architect who is at a crossroads... a nexus where twists and turns lead to myriad missteps, some with his wife Ellie, others with longtime friends Mona and her husband Griffin. Deciding which direction to take often leads to unexpected encounters with hilarious consequences.",There's no such thing as a small affair.,4.5,New Line Cinema
Dominic Sena,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,Action Crime Thriller,gone in sixty seconds,"Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive.","Ice Cold, Hot Wired.",6.4,Touchstone Pictures Jerry Bruckheimer Films
Ridley Scott,Djimon Hounsou,Connie Nielsen,Oliver Reed,Action Drama Romance,gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",A hero will rise.,8.205,Universal Pictures Scott Free Productions Red Wagon Entertainment Mill Film C & L Dawliz DreamWorks Pictures
Steven Spielberg,Tom Cruise,Frank Grillo,Jessica Capshaw,Action Mystery Sci-Fi Thriller,minority report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",The system is perfect until it comes after you.,7.338,Digital Image Associates Cruise/Wagner Productions Blue Tulip Productions Ronald Shusett/Gary Goldman Amblin Entertainment 20th Century Fox DreamWorks Pictures
Chris Columbus,Daniel Radcliffe,Rupert Grint,Emma Watson,Adventure Family Fantasy Mystery,harry potter and the chamber of secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",Hogwarts is back in session.,7.7,Warner Bros. Pictures Heyday Films 1492 Pictures
James Cameron,Joe Morton,Jenette Goldstein,S. Epatha Merkerson,Action Sci-Fi,terminator 2: judgment day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",It's nothing personal.,8.1,Lightstorm Entertainment Carolco Pictures Pacific Western Le Studio Canal+ T2 Productions
Michael Mann,Johnny Depp,Christian Bale,Stephen Graham,Biography Crime Drama History Romance,public enemies,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",America's Most Wanted.,6.7,Relativity Media Forward Pass Misher Films Tribeca Productions Appian Way dentsu Universal Pictures
Ridley Scott,Denzel Washington,Ruby Dee,RZA,Biography Crime Drama,american gangster,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Partly based on a true story.",There are two sides to the American dream,7.6,Film Rites Imagine Entertainment Universal Pictures Scott Free Productions Relativity Media
James Cameron,Jamie Lee Curtis,Tia Carrere,Tom Arnold,Action Comedy Thriller,true lies,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used car salesman while terrorists smuggle nuclear war heads into the United States.","When he said I do, he never said what he did.",7.0,Lightstorm Entertainment 20th Century Fox
Tony Scott,Denzel Washington,Ramon Rodriguez,Michael Rispoli,Action Crime Thriller,the taking of pelham 1 2 3,"Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime.",I can't get it out of my head. I'm gonna die today.,6.331,Escape Artists Columbia Pictures Relativity Media Scott Free Productions Metro-Goldwyn-Mayer
